login_streak,posts_created,comments_written,upvotes_received,quizzes_completed,buddies_messaged,karma_spent,karma_earned,spam,surprise_unlocked,reward_karma,reason,rarity,box_type,status
10,2,10,11,4,9,10,27,False,True,17,quizzes_completed+login_streak,rare,streak,delivered
1,7,4,1,1,0,9,17,False,True,8,posts_created+login_streak,common,comeback,delivered
5,5,15,8,3,10,21,27,False,True,6,no_reason,common,social,delivered
9,5,6,22,7,4,18,29,False,True,11,posts_created+quizzes_completed+login_streak+upvotes_received,rare,allrounder,delivered
7,1,5,4,3,4,15,24,False,True,9,quizzes_completed+login_streak,rare,streak,delivered
1,5,2,1,1,3,11,28,False,True,17,posts_created+login_streak,common,comeback,delivered
10,7,6,7,1,6,6,16,False,True,10,quizzes_completed+login_streak,rare,streak,delivered
7,4,10,3,1,9,24,30,False,True,6,quizzes_completed+login_streak,rare,streak,delivered
8,1,7,7,2,8,16,27,False,True,11,quizzes_completed+login_streak,rare,streak,delivered
7,4,0,3,4,3,0,16,False,True,16,quizzes_completed+login_streak,rare,streak,delivered
1,5,5,1,2,5,5,15,False,True,10,posts_created+login_streak,common,comeback,delivered
3,6,12,8,3,8,20,25,False,True,5,no_reason,common,social,delivered
1,5,1,0,2,3,5,24,False,True,19,posts_created+login_streak,common,comeback,delivered
10,15,7,18,6,13,18,26,False,True,8,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
3,1,0,0,5,8,5,20,False,True,15,quizzes_completed+login_streak,common,streak,delivered
8,8,13,14,8,3,2,25,False,True,23,posts_created+quizzes_completed+login_streak+upvotes_received,legendary,allrounder,delivered
1,9,7,3,1,3,5,11,False,True,6,posts_created+karma_earned,common,mystery,delivered
1,7,2,1,2,1,4,16,False,True,12,posts_created+login_streak,common,comeback,delivered
2,1,6,14,1,7,15,23,False,True,8,buddies_messaged+upvotes_received+comments_written,common,engagement,delivered
4,6,9,5,2,0,7,18,False,True,11,posts_created+karma_earned,common,mystery,delivered
1,8,4,5,1,3,7,30,False,True,23,posts_created+login_streak,rare,comeback,delivered
